region,customer_lifetime_value,response,coverage,education,effective_to_date,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
central,2937,no,extended,bachelor,2/2/11,feb,unemployed,f,67804,suburban,divorced,81,16,69,0,1,personal auto,personal l2,offer1,call center,388,two-door car,medsize
west region,5938,no,basic,doctor,2/4/11,feb,employed,f,44190,rural,married,74,17,40,0,3,corporate auto,corporate l3,offer2,branch,10,four-door car,medsize
east,5581,no,basic,master,2/28/11,feb,employed,f,62739,urban,divorced,70,29,80,0,3,personal auto,personal l1,offer2,call center,239,two-door car,medsize
north west,10127,no,extended,doctor,1/16/11,jan,medical leave,m,23053,suburban,married,132,5,97,0,8,personal auto,personal l1,offer2,agent,780,sports car,medsize
north west,4014,yes,extended,doctor,1/8/11,jan,employed,f,37384,suburban,married,99,9,17,0,1,personal auto,personal l3,offer2,agent,475,four-door car,medsize
west region,4046,no,basic,bachelor,2/11/11,feb,disabled,m,13330,suburban,single,117,33,74,0,1,corporate auto,corporate l3,offer1,call center,561,suv,medsize
central,5335,no,basic,high school or below,1/26/11,jan,unemployed,m,24437,suburban,single,73,6,97,0,9,personal auto,personal l3,offer2,agent,525,four-door car,medsize
west region,7850,no,basic,college,2/15/11,feb,unemployed,f,30432,suburban,married,69,22,78,0,2,corporate auto,corporate l3,offer4,web,331,four-door car,medsize
west region,19872,no,premium,high school or below,1/31/11,jan,unemployed,m,61834,suburban,single,185,26,35,0,2,personal auto,personal l3,offer1,agent,1950,suv,small
central,3906,no,extended,college,1/9/11,jan,employed,f,60230,rural,married,98,13,91,0,1,personal auto,personal l2,offer2,web,8,four-door car,small
west region,30154,no,extended,master,1/2/11,jan,employed,m,73359,rural,married,94,17,24,0,2,corporate auto,corporate l3,offer2,call center,107,two-door car,medsize
east,2480,no,basic,bachelor,1/7/11,jan,employed,f,93383,urban,single,62,31,64,0,1,corporate auto,corporate l2,offer1,branch,244,two-door car,medsize
north west,83325,no,extended,high school or below,1/31/11,jan,employed,m,58958,suburban,married,231,31,74,0,2,personal auto,personal l3,offer1,call center,1108,luxury car,small
central,24186,no,basic,doctor,2/8/11,feb,disabled,m,14710,suburban,single,112,25,86,0,2,personal auto,personal l2,offer3,agent,537,sports car,medsize
north west,8038,no,premium,college,2/22/11,feb,employed,m,71982,suburban,single,103,29,37,0,4,corporate auto,corporate l2,offer3,call center,494,four-door car,small
north west,4583,no,basic,master,1/19/11,jan,employed,m,94804,suburban,married,115,13,79,4,1,personal auto,personal l2,offer1,branch,764,suv,medsize
north west,4862,no,basic,high school or below,1/30/11,jan,employed,f,36839,rural,married,61,22,93,0,3,personal auto,personal l3,offer2,agent,152,four-door car,medsize
north west,6308,no,extended,doctor,2/5/11,feb,employed,f,21368,rural,married,79,7,2,0,6,corporate auto,corporate l3,offer2,call center,4,four-door car,medsize
central,7507,yes,basic,college,2/6/11,feb,employed,m,60920,urban,single,64,10,61,0,2,personal auto,personal l2,offer2,agent,231,two-door car,medsize
west region,6878,no,extended,high school or below,2/5/11,feb,employed,m,39020,suburban,married,87,0,4,0,5,corporate auto,corporate l1,offer3,agent,485,four-door car,small
central,21205,no,extended,high school or below,2/11/11,feb,employed,f,24930,suburban,married,76,7,16,0,2,personal auto,personal l3,offer1,branch,364,two-door car,medsize
north west,2599,no,basic,high school or below,2/21/11,feb,employed,m,53021,suburban,married,68,28,71,4,1,personal auto,personal l2,offer1,agent,326,four-door car,medsize
west region,3997,no,basic,high school or below,1/16/11,jan,unemployed,m,18448,suburban,single,62,25,79,1,3,corporate auto,corporate l3,offer3,agent,552,four-door car,medsize
west region,5815,no,basic,college,1/18/11,jan,employed,m,76675,rural,married,72,15,38,4,9,personal auto,personal l2,offer4,agent,141,four-door car,small
central,8563,no,basic,college,2/1/11,feb,employed,m,91147,rural,married,107,4,79,0,7,personal auto,personal l1,offer3,agent,50,sports car,small
east,5309,no,basic,college,2/5/11,feb,medical leave,f,22404,urban,married,70,0,62,1,4,personal auto,personal l3,offer1,agent,211,four-door car,medsize
central,5979,yes,extended,high school or below,2/7/11,feb,employed,f,57693,suburban,divorced,76,16,56,0,3,personal auto,personal l2,offer2,agent,547,four-door car,medsize
west region,17019,no,basic,bachelor,2/1/11,feb,employed,f,89601,rural,married,70,1,8,0,2,personal auto,personal l3,offer2,branch,117,two-door car,medsize
central,6513,no,extended,college,1/22/11,jan,employed,f,50037,urban,married,81,24,91,0,6,special auto,special l2,offer1,call center,303,four-door car,medsize
central,2619,no,basic,high school or below,1/15/11,jan,employed,f,93987,urban,single,65,9,1,0,1,personal auto,personal l2,offer2,branch,251,two-door car,medsize
central,4637,no,basic,master,2/7/11,feb,employed,m,25816,suburban,single,119,18,63,0,1,personal auto,personal l1,offer3,agent,571,sports car,medsize
west region,13265,no,basic,bachelor,1/9/11,jan,employed,f,99617,rural,married,109,1,62,0,2,personal auto,personal l2,offer3,agent,74,suv,medsize
west region,15886,no,basic,doctor,2/28/11,feb,employed,f,56362,suburban,married,197,30,47,1,6,personal auto,personal l3,offer4,call center,945,luxury suv,medsize
north west,8026,no,basic,bachelor,2/20/11,feb,unemployed,m,18270,suburban,married,109,10,20,0,6,corporate auto,corporate l3,offer1,branch,898,suv,medsize
north west,12157,yes,premium,high school or below,2/27/11,feb,employed,m,57449,suburban,single,103,6,28,0,2,personal auto,personal l2,offer1,agent,494,four-door car,medsize
west region,3681,no,extended,college,1/29/11,jan,unemployed,m,65671,urban,married,98,23,7,0,1,personal auto,personal l3,offer4,web,354,four-door car,medsize
north west,4766,no,basic,bachelor,2/21/11,feb,unemployed,f,47479,suburban,single,68,3,36,0,9,personal auto,personal l2,offer1,agent,656,four-door car,medsize
west region,13265,no,basic,high school or below,1/3/11,jan,employed,m,34482,rural,married,67,4,6,0,2,personal auto,personal l2,offer1,agent,83,four-door car,medsize
north west,4893,no,basic,bachelor,2/14/11,feb,unemployed,m,21586,suburban,single,73,11,56,0,5,corporate auto,corporate l3,offer2,branch,680,four-door car,medsize
central,5399,no,basic,high school or below,2/22/11,feb,employed,f,71186,rural,married,67,11,14,0,6,personal auto,personal l3,offer2,call center,29,two-door car,medsize
north west,7546,no,basic,bachelor,1/20/11,jan,employed,m,31266,suburban,married,193,6,79,0,1,corporate auto,corporate l3,offer4,branch,926,luxury car,large
north west,3534,no,extended,bachelor,1/25/11,jan,medical leave,m,19861,suburban,married,93,27,21,0,1,corporate auto,corporate l1,offer2,agent,446,four-door car,medsize
east,8188,no,basic,college,2/26/11,feb,employed,m,89061,suburban,divorced,103,19,88,0,3,personal auto,personal l2,offer3,web,565,suv,small
north west,8569,no,basic,bachelor,1/10/11,jan,employed,f,99803,urban,married,71,1,67,0,2,personal auto,personal l2,offer2,call center,189,four-door car,small
west region,2912,no,basic,bachelor,1/18/11,jan,employed,f,65436,rural,married,73,14,55,0,1,personal auto,personal l3,offer4,agent,40,four-door car,small
west region,4834,no,basic,college,2/17/11,feb,employed,f,32017,suburban,married,62,9,10,2,7,personal auto,personal l1,offer1,branch,297,four-door car,small
north west,2496,no,basic,high school or below,2/13/11,feb,unemployed,m,34689,suburban,single,72,14,58,0,1,corporate auto,corporate l2,offer4,web,518,two-door car,medsize
west region,15789,no,extended,high school or below,1/4/11,jan,unemployed,f,46642,suburban,single,212,28,51,0,4,personal auto,personal l3,offer3,agent,1526,luxury suv,large
north west,35944,no,premium,high school or below,2/13/11,feb,unemployed,m,84008,suburban,single,114,33,55,0,2,corporate auto,corporate l3,offer1,branch,820,four-door car,large
west region,15769,no,extended,college,2/27/11,feb,employed,m,29977,rural,married,133,16,19,0,2,personal auto,personal l3,offer1,agent,255,suv,small
north west,4167,no,basic,college,2/2/11,feb,unemployed,f,29589,suburban,single,69,22,98,3,8,personal auto,personal l3,offer1,agent,433,four-door car,medsize
north west,3567,yes,basic,bachelor,1/7/11,jan,unemployed,m,72498,suburban,married,102,28,11,0,1,personal auto,personal l3,offer2,agent,660,suv,medsize
north west,4866,no,basic,bachelor,1/10/11,jan,unemployed,f,84428,suburban,single,68,4,17,0,9,personal auto,personal l3,offer1,agent,444,four-door car,medsize
west region,9886,no,extended,bachelor,2/16/11,feb,employed,f,44817,suburban,married,83,23,89,0,2,personal auto,personal l2,offer1,agent,527,four-door car,small
central,5383,no,basic,college,2/23/11,feb,employed,f,89092,rural,divorced,68,31,30,2,3,personal auto,personal l3,offer1,branch,91,two-door car,medsize
central,10852,no,extended,college,1/26/11,jan,employed,m,67696,rural,married,97,11,51,5,2,corporate auto,corporate l3,offer4,branch,17,two-door car,medsize
west region,5619,yes,premium,high school or below,1/26/11,jan,unemployed,m,15050,suburban,married,153,25,5,0,1,corporate auto,corporate l2,offer2,web,1027,suv,medsize
east,7284,no,extended,college,1/3/11,jan,employed,f,44605,suburban,married,91,3,45,0,7,personal auto,personal l3,offer1,branch,436,four-door car,medsize
west region,7933,no,basic,college,1/13/11,jan,employed,f,76505,rural,married,65,3,89,0,2,personal auto,personal l3,offer1,branch,144,four-door car,medsize
north west,3768,no,extended,master,1/17/11,jan,employed,f,85751,urban,married,93,6,3,0,1,corporate auto,corporate l3,offer2,agent,391,four-door car,medsize
north west,5290,no,basic,bachelor,1/4/11,jan,employed,m,36791,suburban,divorced,68,26,62,0,3,personal auto,personal l2,offer1,agent,326,four-door car,medsize
north west,8012,no,basic,bachelor,1/27/11,jan,employed,m,58058,suburban,married,67,28,49,0,2,personal auto,personal l1,offer2,call center,355,four-door car,medsize
central,5504,yes,basic,bachelor,2/8/11,feb,unemployed,f,14910,suburban,married,73,18,45,0,5,personal auto,personal l2,offer1,call center,350,four-door car,medsize
north west,2916,no,basic,bachelor,2/1/11,feb,employed,m,85210,rural,divorced,74,11,76,0,1,personal auto,personal l3,offer4,web,100,four-door car,medsize
west region,2751,no,basic,bachelor,1/8/11,jan,employed,f,42585,urban,married,69,16,44,0,1,personal auto,personal l1,offer1,agent,288,two-door car,medsize
central,5595,yes,basic,high school or below,2/5/11,feb,employed,f,74454,suburban,single,71,25,29,0,3,personal auto,personal l3,offer2,call center,340,four-door car,medsize
west region,12812,no,extended,bachelor,1/24/11,jan,unemployed,m,25654,suburban,single,128,35,71,0,2,personal auto,personal l2,offer2,agent,789,suv,medsize
west region,16256,no,extended,high school or below,1/17/11,jan,employed,f,21206,rural,married,136,12,9,0,2,corporate auto,corporate l1,offer3,branch,98,sports car,medsize
central,3486,no,extended,high school or below,1/15/11,jan,unemployed,m,29011,suburban,single,95,12,5,0,1,corporate auto,corporate l3,offer1,branch,684,four-door car,medsize
central,2661,no,basic,college,1/13/11,jan,employed,f,35503,urban,married,67,14,95,0,1,personal auto,personal l3,offer1,branch,216,suv,medsize
east,8590,no,basic,bachelor,2/6/11,feb,employed,f,63110,rural,married,72,23,84,0,2,personal auto,personal l3,offer3,agent,68,four-door car,medsize
central,5849,no,extended,high school or below,1/14/11,jan,unemployed,f,11022,suburban,single,83,2,47,0,4,corporate auto,corporate l2,offer3,agent,540,four-door car,medsize
central,2585,no,basic,high school or below,2/2/11,feb,employed,f,64592,suburban,married,64,12,57,0,1,personal auto,personal l2,offer2,branch,307,four-door car,medsize
north west,14503,no,basic,bachelor,1/31/11,jan,medical leave,m,29790,suburban,married,194,25,49,0,3,personal auto,personal l2,offer1,agent,931,luxury suv,medsize
central,8406,yes,basic,college,2/3/11,feb,employed,f,42540,rural,married,70,28,52,1,2,personal auto,personal l1,offer1,agent,43,four-door car,medsize
north west,9025,no,premium,bachelor,1/17/11,jan,medical leave,f,23675,suburban,married,117,4,31,0,7,personal auto,personal l2,offer1,branch,707,four-door car,medsize
west region,2300,no,basic,high school or below,2/3/11,feb,unemployed,f,21950,suburban,single,66,9,10,1,1,corporate auto,corporate l3,offer2,agent,475,four-door car,small
central,3694,no,extended,bachelor,1/1/11,jan,employed,f,87485,suburban,divorced,92,12,57,0,1,personal auto,personal l3,offer3,branch,441,four-door car,medsize
east,32196,no,extended,high school or below,1/30/11,jan,employed,f,91375,rural,married,99,22,89,0,2,personal auto,personal l1,offer4,call center,72,two-door car,medsize
north west,19688,no,basic,bachelor,1/10/11,jan,employed,f,83879,urban,married,69,3,66,0,2,personal auto,personal l2,offer1,agent,212,four-door car,medsize
north west,8168,no,basic,college,1/14/11,jan,disabled,m,20819,urban,married,73,4,65,1,2,special auto,special l2,offer1,call center,206,four-door car,medsize
central,6880,no,extended,college,2/24/11,feb,employed,m,63935,urban,married,87,20,63,0,6,personal auto,personal l2,offer2,call center,221,four-door car,medsize
west region,32317,no,basic,bachelor,2/11/11,feb,employed,f,55475,urban,divorced,116,18,75,0,2,personal auto,personal l3,offer1,agent,412,suv,medsize
north west,7865,no,extended,high school or below,1/23/11,jan,employed,f,75490,rural,married,97,23,20,0,7,corporate auto,corporate l3,offer2,agent,43,four-door car,medsize
central,6950,no,basic,high school or below,1/18/11,jan,unemployed,m,56659,suburban,married,61,27,90,0,2,corporate auto,corporate l3,offer3,call center,301,four-door car,medsize
central,10083,yes,extended,high school or below,2/19/11,feb,retired,f,11828,suburban,divorced,90,18,84,0,2,personal auto,personal l1,offer1,agent,571,four-door car,large
central,14267,no,extended,high school or below,2/6/11,feb,disabled,f,17157,suburban,married,123,33,15,0,2,personal auto,personal l3,offer1,agent,770,suv,small
west region,4014,yes,extended,doctor,1/8/11,jan,employed,f,37384,suburban,married,99,9,17,0,1,personal auto,personal l1,offer2,agent,475,four-door car,medsize
central,5875,no,basic,college,1/13/11,jan,employed,m,46417,rural,married,74,16,14,0,7,corporate auto,corporate l2,offer2,branch,164,four-door car,medsize
west region,2397,yes,basic,high school or below,1/29/11,jan,retired,f,22283,suburban,divorced,65,16,93,0,1,personal auto,personal l2,offer1,branch,572,four-door car,medsize
central,5447,no,basic,high school or below,1/3/11,jan,unemployed,f,64030,suburban,married,73,17,15,0,3,personal auto,personal l2,offer3,agent,350,four-door car,medsize
north west,10656,yes,extended,bachelor,2/27/11,feb,employed,f,72540,suburban,married,88,7,3,0,2,personal auto,personal l1,offer2,call center,631,two-door car,medsize
north west,6897,no,premium,bachelor,2/20/11,feb,employed,f,65337,suburban,married,173,9,22,1,1,personal auto,personal l3,offer1,agent,830,suv,large
north west,2374,no,basic,high school or below,1/4/11,jan,employed,m,57338,suburban,single,61,8,48,0,1,personal auto,personal l2,offer2,call center,292,two-door car,small
north west,7528,no,basic,college,2/14/11,feb,unemployed,f,79349,suburban,single,106,0,44,0,7,personal auto,personal l2,offer2,agent,508,suv,medsize
central,2592,yes,basic,high school or below,1/2/11,jan,employed,m,72421,suburban,married,65,8,23,0,1,personal auto,personal l2,offer2,call center,312,four-door car,medsize
west region,3971,no,basic,doctor,2/26/11,feb,employed,m,23599,suburban,single,103,20,46,0,1,corporate auto,corporate l3,offer2,agent,494,suv,medsize
central,4381,no,premium,college,1/1/11,jan,medical leave,f,20394,urban,married,115,28,84,0,1,personal auto,personal l3,offer1,branch,508,two-door car,medsize
north west,2756,no,basic,bachelor,1/9/11,jan,employed,f,42336,rural,single,69,12,56,0,1,personal auto,personal l2,offer3,web,25,four-door car,medsize
east,4645,no,basic,college,2/5/11,feb,unemployed,m,34053,suburban,single,71,3,33,0,3,personal auto,personal l2,offer4,web,697,two-door car,large
west region,2387,no,basic,college,2/13/11,feb,unemployed,m,28834,suburban,single,67,23,88,0,1,personal auto,personal l3,offer1,web,482,four-door car,medsize
central,3469,no,extended,high school or below,1/16/11,jan,employed,f,32714,suburban,married,87,35,48,0,1,personal auto,personal l1,offer4,agent,513,four-door car,medsize
north west,6852,no,extended,bachelor,2/21/11,feb,employed,f,26313,suburban,single,87,6,77,0,7,corporate auto,corporate l2,offer1,agent,417,two-door car,medsize
north west,2419,no,basic,college,1/26/11,jan,unemployed,m,99130,suburban,married,70,12,29,1,1,personal auto,personal l1,offer1,call center,336,two-door car,small
central,28435,no,basic,college,2/8/11,feb,unemployed,f,78276,suburban,single,116,29,22,0,2,personal auto,personal l1,offer2,branch,899,suv,medsize
north west,4874,no,basic,high school or below,2/12/11,feb,employed,m,67467,suburban,married,61,4,22,0,9,personal auto,personal l2,offer4,branch,365,two-door car,medsize
east,10990,no,extended,college,1/16/11,jan,employed,f,44552,rural,married,137,7,42,0,3,personal auto,personal l3,offer1,branch,311,suv,medsize
west region,16313,no,basic,college,2/11/11,feb,unemployed,m,95757,suburban,single,69,21,86,0,2,personal auto,personal l1,offer3,call center,331,four-door car,medsize
west region,2588,no,basic,bachelor,1/3/11,jan,employed,m,47509,rural,divorced,66,28,73,0,1,personal auto,personal l3,offer1,branch,93,four-door car,medsize
west region,9144,no,basic,bachelor,1/19/11,jan,employed,f,21150,suburban,married,116,8,1,0,4,personal auto,personal l3,offer4,branch,833,suv,medsize
central,3589,no,extended,college,1/30/11,jan,employed,f,30944,urban,divorced,92,15,46,0,1,personal auto,personal l3,offer1,web,348,four-door car,small
central,3482,no,extended,high school or below,1/3/11,jan,employed,m,65162,rural,married,86,11,59,0,1,personal auto,personal l3,offer2,call center,134,four-door car,medsize
central,9247,no,premium,bachelor,1/23/11,jan,employed,m,85654,urban,married,116,5,55,0,4,personal auto,personal l3,offer2,call center,346,two-door car,large
north west,3350,no,extended,college,2/21/11,feb,employed,m,74770,suburban,single,86,23,10,0,1,personal auto,personal l2,offer2,branch,412,four-door car,large
west region,2656,no,basic,college,2/5/11,feb,medical leave,f,18834,suburban,married,69,20,89,0,1,personal auto,personal l3,offer2,agent,453,two-door car,medsize
central,4871,no,basic,college,1/21/11,jan,employed,m,72648,rural,married,61,0,78,0,5,personal auto,personal l2,offer3,agent,120,four-door car,large
west region,12885,no,basic,college,2/12/11,feb,employed,m,37050,suburban,married,110,12,75,0,2,personal auto,personal l3,offer1,agent,528,sports car,medsize
central,8164,no,basic,college,1/13/11,jan,disabled,m,11193,suburban,single,114,2,88,0,6,personal auto,personal l2,offer2,agent,820,suv,small
west region,3031,no,extended,high school or below,2/9/11,feb,unemployed,f,56677,suburban,single,86,7,31,0,1,corporate auto,corporate l1,offer2,branch,619,two-door car,medsize
north west,4983,no,extended,bachelor,2/26/11,feb,disabled,m,21497,suburban,married,128,31,58,0,1,personal auto,personal l3,offer3,call center,614,sports car,medsize
north west,2575,no,basic,college,1/13/11,jan,medical leave,f,28700,suburban,married,68,2,65,3,1,personal auto,personal l2,offer4,web,326,four-door car,medsize
north west,7427,no,extended,bachelor,2/17/11,feb,employed,f,78294,rural,married,92,6,35,0,3,personal auto,personal l1,offer4,agent,181,four-door car,medsize
west region,27990,no,extended,bachelor,1/18/11,jan,employed,f,68343,suburban,single,79,20,78,0,2,personal auto,personal l2,offer2,call center,379,two-door car,medsize
north west,5209,no,extended,high school or below,2/16/11,feb,employed,f,37940,urban,married,129,26,36,0,1,special auto,special l3,offer1,branch,512,suv,medsize
west region,4872,no,basic,master,1/11/11,jan,unemployed,m,59557,suburban,married,64,1,7,0,7,personal auto,personal l2,offer1,agent,307,luxury suv,small
north west,5330,no,extended,high school or below,2/9/11,feb,employed,m,84240,suburban,divorced,132,10,51,0,1,personal auto,personal l3,offer3,branch,633,suv,large
west region,3515,no,basic,college,2/21/11,feb,unemployed,m,70380,suburban,single,103,30,13,2,1,personal auto,personal l3,offer3,web,741,sports car,small
north west,22325,no,basic,master,1/5/11,jan,employed,m,99241,rural,single,70,22,27,0,2,corporate auto,corporate l3,offer2,branch,48,four-door car,large
central,9320,no,premium,bachelor,1/3/11,jan,employed,f,21033,suburban,married,118,5,22,0,8,personal auto,personal l1,offer3,call center,738,two-door car,small
central,6199,no,extended,college,1/5/11,jan,unemployed,f,96280,suburban,single,84,31,61,0,3,personal auto,personal l3,offer1,agent,604,two-door car,small
north west,8126,no,basic,college,2/22/11,feb,disabled,f,14616,suburban,married,107,22,73,0,3,personal auto,personal l3,offer1,agent,513,suv,medsize
west region,12689,no,premium,college,2/1/11,feb,unemployed,f,63691,suburban,single,117,4,89,1,2,personal auto,personal l3,offer1,web,1163,two-door car,medsize
west region,5994,no,extended,high school or below,2/19/11,feb,employed,m,41859,rural,married,76,18,58,0,5,personal auto,personal l3,offer1,agent,166,two-door car,large
north west,16007,no,extended,high school or below,1/10/11,jan,employed,f,45302,suburban,divorced,133,4,34,0,2,personal auto,personal l1,offer3,branch,638,suv,small
north west,5886,no,basic,college,2/4/11,feb,unemployed,m,47251,suburban,single,180,21,68,0,1,corporate auto,corporate l3,offer2,agent,1777,luxury car,small
west region,8532,no,extended,high school or below,2/1/11,feb,unemployed,f,25389,suburban,married,122,32,6,2,7,personal auto,personal l3,offer2,call center,585,suv,small
west region,20266,no,basic,high school or below,1/19/11,jan,employed,m,21542,suburban,married,103,18,37,0,2,special auto,special l2,offer4,branch,494,sports car,small
north west,3059,no,extended,master,2/10/11,feb,employed,m,38644,urban,married,78,28,0,1,1,personal auto,personal l3,offer3,web,361,four-door car,medsize
central,2389,no,basic,college,2/18/11,feb,employed,f,20484,urban,married,61,3,89,0,1,personal auto,personal l3,offer2,agent,181,four-door car,medsize
central,7908,no,extended,college,1/31/11,jan,employed,f,43630,suburban,divorced,99,33,30,0,3,corporate auto,corporate l1,offer3,branch,475,four-door car,medsize
north west,25464,yes,extended,college,2/1/11,feb,retired,f,13663,suburban,single,97,1,66,0,2,corporate auto,corporate l3,offer1,branch,465,four-door car,small
north west,10656,yes,extended,bachelor,2/27/11,feb,employed,f,72540,suburban,married,88,7,3,0,2,corporate auto,corporate l3,offer2,call center,631,two-door car,medsize
central,5077,no,basic,high school or below,1/9/11,jan,unemployed,m,79832,suburban,single,73,26,84,0,3,personal auto,personal l3,offer2,call center,525,two-door car,medsize
west region,5074,no,basic,high school or below,2/27/11,feb,employed,f,66933,urban,married,63,8,0,0,6,personal auto,personal l1,offer1,agent,160,four-door car,medsize
north west,5841,no,extended,bachelor,2/12/11,feb,unemployed,m,45589,suburban,divorced,79,17,4,0,3,personal auto,personal l1,offer1,call center,379,four-door car,large
west region,6610,no,extended,master,1/20/11,jan,employed,f,23616,urban,married,83,8,68,0,7,special auto,special l2,offer3,web,229,two-door car,medsize
central,4931,no,basic,college,2/25/11,feb,unemployed,m,60768,suburban,single,73,14,47,0,3,personal auto,personal l3,offer1,agent,525,four-door car,small
west region,5133,no,basic,high school or below,1/26/11,jan,disabled,f,28647,suburban,divorced,69,11,59,0,3,personal auto,personal l2,offer1,agent,331,four-door car,small
east,12315,yes,premium,high school or below,1/27/11,jan,employed,m,68420,suburban,married,104,5,27,1,2,personal auto,personal l2,offer2,branch,499,four-door car,medsize
west region,8184,no,basic,bachelor,2/5/11,feb,employed,m,69114,rural,divorced,103,9,68,0,4,personal auto,personal l3,offer2,agent,162,suv,medsize
north west,2771,yes,basic,college,1/11/11,jan,employed,f,50071,rural,single,71,3,32,0,1,corporate auto,corporate l3,offer2,agent,18,two-door car,medsize
north west,4457,no,basic,college,2/24/11,feb,employed,m,54704,urban,divorced,113,6,75,0,1,personal auto,personal l3,offer1,web,468,suv,medsize
north west,7218,no,premium,bachelor,1/18/11,jan,employed,f,95058,rural,married,177,11,90,0,1,personal auto,personal l3,offer2,agent,89,suv,small
north west,3237,yes,extended,master,1/16/11,jan,employed,m,60244,urban,married,83,3,72,3,1,personal auto,personal l1,offer3,agent,326,four-door car,medsize
central,4928,no,basic,bachelor,1/18/11,jan,employed,f,61785,urban,married,61,31,47,0,5,personal auto,personal l3,offer3,web,271,two-door car,large
north west,2599,no,basic,high school or below,2/13/11,feb,employed,m,29590,suburban,married,66,17,18,0,1,corporate auto,corporate l3,offer2,agent,467,two-door car,small
central,2180,no,basic,college,2/9/11,feb,unemployed,f,85863,suburban,single,64,14,96,0,1,personal auto,personal l2,offer2,agent,460,four-door car,medsize
west region,8773,no,extended,high school or below,2/6/11,feb,unemployed,m,14174,suburban,single,87,24,53,0,2,personal auto,personal l3,offer4,branch,626,four-door car,medsize
central,19116,no,basic,bachelor,1/31/11,jan,unemployed,f,30444,suburban,single,61,31,43,0,2,personal auto,personal l3,offer1,branch,657,two-door car,small
west region,5044,no,basic,bachelor,1/24/11,jan,employed,m,59292,urban,married,64,14,92,0,4,corporate auto,corporate l3,offer2,call center,218,two-door car,medsize
central,13014,no,basic,bachelor,2/15/11,feb,employed,f,55067,urban,single,110,3,21,1,2,personal auto,personal l3,offer1,agent,353,suv,medsize
west region,6763,no,basic,high school or below,1/24/11,jan,unemployed,f,52287,suburban,single,64,27,1,0,2,personal auto,personal l3,offer1,branch,460,four-door car,medsize
west region,7712,no,extended,master,1/14/11,jan,employed,f,63624,rural,married,95,10,5,0,5,personal auto,personal l3,offer1,call center,175,four-door car,medsize
west region,10537,no,basic,master,1/15/11,jan,employed,f,47950,urban,married,65,27,14,0,2,personal auto,personal l3,offer3,call center,301,four-door car,large
west region,16727,no,extended,college,1/19/11,jan,unemployed,m,32572,suburban,single,76,33,36,2,2,personal auto,personal l3,offer3,branch,402,two-door car,medsize
north west,5412,no,basic,master,2/4/11,feb,employed,f,55992,urban,married,67,16,21,0,3,personal auto,personal l3,offer1,call center,191,four-door car,small
central,3452,no,extended,college,1/11/11,jan,employed,f,61385,rural,married,86,25,35,0,1,personal auto,personal l3,offer2,call center,199,four-door car,medsize
central,5153,no,basic,high school or below,1/23/11,jan,unemployed,m,44953,suburban,single,74,22,50,0,3,personal auto,personal l3,offer1,branch,532,four-door car,medsize
central,4035,no,premium,bachelor,1/14/11,jan,unemployed,m,83983,suburban,married,112,6,73,0,1,personal auto,personal l1,offer3,call center,537,four-door car,medsize
north west,6781,no,basic,bachelor,2/4/11,feb,unemployed,m,94225,suburban,single,104,30,3,1,5,personal auto,personal l3,offer1,agent,982,sports car,medsize
west region,5080,no,basic,bachelor,2/1/11,feb,employed,m,70784,rural,married,64,0,93,0,7,special auto,special l3,offer2,branch,107,four-door car,medsize
east,3700,no,extended,high school or below,1/5/11,jan,employed,f,36710,suburban,single,94,17,56,0,1,personal auto,personal l1,offer2,agent,676,four-door car,small
west region,6981,no,extended,college,1/20/11,jan,employed,m,34835,urban,married,89,1,45,2,9,personal auto,personal l3,offer1,agent,294,two-door car,medsize
central,48356,no,extended,college,2/20/11,feb,employed,m,52499,suburban,divorced,138,0,61,0,2,personal auto,personal l2,offer3,call center,1171,suv,medsize
central,8270,no,basic,high school or below,1/9/11,jan,employed,m,44656,suburban,married,70,2,80,0,2,personal auto,personal l2,offer2,branch,336,two-door car,medsize
central,7412,no,premium,college,1/13/11,jan,unemployed,m,11533,suburban,single,112,32,74,0,5,personal auto,personal l3,offer4,call center,806,suv,medsize
west region,7290,no,basic,high school or below,2/15/11,feb,unemployed,m,37156,suburban,married,102,11,70,1,3,corporate auto,corporate l2,offer1,agent,489,suv,medsize
central,24320,no,basic,bachelor,1/2/11,jan,employed,f,60221,urban,married,67,3,17,0,2,personal auto,personal l1,offer3,agent,238,four-door car,medsize
north west,22523,no,basic,high school or below,1/8/11,jan,employed,m,69346,urban,married,63,27,42,1,2,special auto,special l3,offer2,branch,246,two-door car,medsize
west region,1918,no,basic,college,2/15/11,feb,unemployed,m,22017,suburban,single,61,2,54,2,1,personal auto,personal l1,offer1,branch,439,two-door car,small
west region,15023,no,basic,high school or below,1/12/11,jan,employed,m,28262,suburban,single,192,9,77,0,3,personal auto,personal l3,offer3,web,921,luxury suv,medsize
north west,8609,yes,basic,bachelor,1/14/11,jan,employed,f,79090,urban,married,107,2,74,0,3,corporate auto,corporate l3,offer2,branch,289,suv,medsize
east,2454,no,basic,high school or below,1/2/11,jan,employed,m,74624,suburban,married,62,16,71,1,1,personal auto,personal l2,offer2,branch,297,four-door car,medsize
